,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2017-11-22,Henrik Haapala,home,Florida Panthers,Toronto Maple Leafs,L,13.96666667,0,0,1,0.0,1,0,0,0,0,1,0,0.42,0.39,20172018,0.50193333344,0.50193333344,0.50193333344,0.50193333344,0.49806666656,0.50193333344,-0.08193333344000003,0.11193333344,0.6000000000000001,0.0,0.1737916666,0.47344125011399996,1.2472329167140002,1994-02-28,23.747945205479454,1,0.0,0.11723885496178106,0.11723885496178106,0.13019957348437539,0.11684358779698208,0.12982488343225768,1.0040553786098774,0.11731743278363528
1,2017-11-25,Henrik Haapala,home,Florida Panthers,Chicago Blackhawks,L,15.25,0,0,0,0.0,1,0,0,0,0,0,0,0.91,0.78,20172018,0.543,0.543,0.543,0.543,-0.543,0.543,0.367,-0.237,0.05,0.0,-0.170625,-0.1456687499999999,-0.2662937499999999,1994-02-28,23.756164383561643,2,0.11772794234690453,0.08396021397649076,0.08396021397649076,0.09445484404307022,0.08396899848833474,0.09434342350894456,1.0039250393445311,0.08429858011112233
2,2017-11-27,Henrik Haapala,away,Florida Panthers,New Jersey Devils,L,14.4,0,0,0,0.07,0,0,0,0,0,0,0,0.17,0.4,20172018,0.5158,0.5158,0.5158,0.5158,-0.5158,0.5158,-0.3458,0.11580000000000001,0.035,0.0,-0.616125,0.47126124999999996,-0.10986375000000004,1994-02-28,23.76164383561644,3,0.08443235272341496,0.06831890201864901,0.06831890201864901,0.07743101731699885,0.06833886587064561,0.07739344058102125,1.0038393898484093,0.06860124541852117
3,2017-11-28,Henrik Haapala,away,Florida Panthers,New York Rangers,L,11.66666667,0,0,0,0.0,0,0,0,0,0,0,1,0.08,0.3,20172018,0.42833333343999996,0.42833333343999996,0.42833333343999996,0.42833333343999996,-0.42833333343999996,-0.5716666665600001,-0.34833333343999995,0.12833333343999997,0.0,0.0,-0.6177083334,0.11028125011399997,-0.507427083286,1994-02-28,23.764383561643836,4,0.06887593173591564,0.02482719778658591,0.02482719778658591,0.027883587142604895,0.02495269089790239,0.027956600492294523,1.0037969374477778,0.02504743470439546
4,2017-12-01,Henrik Haapala,home,Florida Panthers,San Jose Sharks,L,13.21666667,0,0,0,0.34,1,0,0,0,0,0,0,0.31,0.86,20172018,0.47793333344,0.47793333344,0.47793333344,0.47793333344,-0.47793333344,0.47793333344,-0.16793333344,-0.38206666656,0.22000000000000003,0.0,-0.5049583334000001,-0.3512087498859999,-0.636167083286,1994-02-28,23.77260273972603,5,0.026078888976011554,-0.02217595143804936,-0.02217595143804936,-0.024032940492954926,-0.021925310359589043,-0.024016563436429793,1.003671067020907,-0.02184511547659501
