,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2019-12-11,David Kase,away,Philadelphia Flyers,Colorado Avalanche,R,7.7833333333333,0,0,0,0.11,0,0,0,0,0,0,0,0.19,0.08,20192020,0.3040666666666656,0.3040666666666656,0.3040666666666656,0.3040666666666656,-0.3040666666666656,0.3040666666666656,-0.1140666666666656,0.22406666666666558,0.055,0.0,-0.471291666666666,0.7889712499999988,0.3726795833333328,1997-01-28,22.882191780821916,1,0.0,0.03503157031226159,0.03503157031226159,0.038015431530592975,0.035011454333997744,0.03799222428831336,1.0317339648615214,0.03612250659558359
1,2019-12-14,David Kase,away,Philadelphia Flyers,Minnesota Wild,R,10.183333333333,0,0,0,0.1,0,0,0,1,0,0,1,0.1,0.7,20192020,0.380866666666656,0.380866666666656,0.380866666666656,0.380866666666656,-0.380866666666656,-0.619133333333344,-0.28086666666665594,-0.319133333333344,0.05,0.01,-0.57554166666666,-0.6204487500000112,-1.135990416666671,1997-01-28,22.89041095890411,2,0.03517771212784294,-0.06657653232724298,-0.06657653232724298,-0.07332955654440597,0.0,0.0,1.031325783836199,0.0
2,2019-12-15,David Kase,away,Philadelphia Flyers,Winnipeg Jets,R,12.033333333333,0,0,0,0.0,1,0,0,0,0,0,0,0.24,0.3,20192020,0.440066666666656,0.440066666666656,0.440066666666656,0.440066666666656,-0.440066666666656,0.440066666666656,-0.200066666666656,0.14006666666665601,0.05,0.0,-0.5250416666666601,0.5603212499999886,0.08527958333332847,1997-01-28,22.893150684931506,3,-0.06636533654250817,-0.05432196468234026,-0.05432196468234026,-0.06133822256732646,0.0,0.0,1.0311904200214663,0.0
3,2019-12-17,David Kase,home,Philadelphia Flyers,Anaheim Ducks,R,10.933333333333,1,0,0,0.11,0,0,0,0,0,2,0,0.31,0.37,20192020,0.404866666666656,0.404866666666656,0.404866666666656,0.404866666666656,1.595133333333344,0.404866666666656,-0.094866666666656,0.034866666666656,0.805,0.0,0.7907083333333399,0.4037012499999886,1.9994095833333285,1997-01-28,22.898630136986302,4,-0.05424510565329681,0.10081639031824535,0.10081639031824535,0.11174519418988224,0.0,0.0,1.0309207345608908,0.0
4,2019-12-19,David Kase,home,Philadelphia Flyers,Buffalo Sabres,R,12.733333333333,0,0,0,0.0,0,0,0,0,0,0,0,0.18,0.09,20192020,0.46246666666665603,0.46246666666665603,0.46246666666665603,0.46246666666665603,-0.46246666666665603,0.46246666666665603,-0.28246666666665604,0.37246666666665607,0.0,0.0,-0.5765416666666601,0.9412612499999886,0.36471958333332855,1997-01-28,22.904109589041095,5,0.09828363060460366,0.11958248484786432,0.11958248484786432,0.1329778347387609,0.0,0.0,1.030652435759098,0.0
5,2020-01-11,David Kase,home,Philadelphia Flyers,Tampa Bay Lightning,R,5.0,0,0,0,0.09,0,0,1,0,0,0,0,0.11,0.79,20192020,0.215,0.215,0.215,0.215,-0.215,0.215,-0.105,-0.5750000000000001,0.045,0.15,-0.465625,-0.5132187500000002,-0.7838437500000002,1997-01-28,22.96712328767123,6,0.11676975286112676,0.0588075341964776,0.0588075341964776,0.06089699566095969,0.05892673707726885,0.060466242374785976,1.0276655578576355,0.0605569781312417
6,2021-02-18,David Kase,home,Philadelphia Flyers,New York Rangers,R,10.966666666667,0,0,0,0.0,1,0,0,0,0,0,0,0.0,0.32,20202021,0.405933333333344,0.405933333333344,0.405933333333344,0.405933333333344,-0.405933333333344,0.405933333333344,-0.405933333333344,0.08593333333334402,0.05,0.0,-0.65370833333334,0.4898412500000114,-0.11386708333332857,1997-01-28,24.073972602739726,7,0.05589184359519972,0.04777008414230123,0.04777008414230123,0.05212204489034304,0.04797824272260274,0.052413177370045264,1.000547431565021,0.04800450752710333
