,Date,Player,Venue,Team,Opposition,Position,TOI,Goals,First Assists,Second Assists,ixG,Shots Blocked,Total Penalties,Penalties Drawn,Faceoffs Won,Faceoffs Lost,GF,GA,xGF,xGA,Season,exGF,exGA,eGF,eGA,GFAA,GAAA,xGFAA,xGAAA,Production,Misc,Offense,Defense,Score,dob,Age,Career Game,Projection,Kalman,XGB,adjXGB,XGB_Lowess,adjXGB_Lowess,multiplier,Potential
0,2009-12-05,Ilkka Heikkinen,away,New York Rangers,Buffalo Sabres,D,9.45,0,0,0,0.0,0,0,0,0,0,0,0,0.39,0.27,20092010,0.3574,0.3574,0.3574,0.3574,-0.3574,0.3574,0.03260000000000002,0.08739999999999998,0.0,0.0,-0.4834,0.9427625,0.45936249999999995,1984-11-13,25.076712328767123,1,0.0,0.043179692253688756,0.043179692253688756,0.04573911088022853,0.043179692253688756,0.04573911088022853,1,0.043179692253688756
1,2009-12-06,Ilkka Heikkinen,home,New York Rangers,Detroit Red Wings,D,8.95,0,0,0,0.0,3,0,1,0,0,0,0,0.33,0.13,20092010,0.3414,0.3414,0.3414,0.3414,-0.3414,0.3414,-0.011399999999999966,0.21139999999999998,0.15000000000000002,0.15,-0.5633999999999999,1.2417625,0.9783625000000002,1984-11-13,25.07945205479452,2,0.043359825732318155,0.12432432640469278,0.12432432640469278,0.13766367916154512,0.12430991232139063,0.13766246328073614,1,0.12430991232139063
2,2009-12-12,Ilkka Heikkinen,home,New York Rangers,Buffalo Sabres,D,8.0666666666667,0,0,0,0.0,1,0,0,0,0,0,0,0.43,0.52,20092010,0.31313333333333443,0.31313333333333443,0.31313333333333443,0.31313333333333443,-0.31313333333333443,0.31313333333333443,0.11686666666666556,-0.2068666666666656,0.05,0.0,-0.3751333333333345,0.30412916666666834,-0.021004166666666158,1984-11-13,25.095890410958905,3,0.12414460313251813,0.11259652840770269,0.11259652840770269,0.1197377147537265,0.11256262629246344,0.11977416919171814,1,0.11256262629246344
3,2009-12-14,Ilkka Heikkinen,home,New York Rangers,Atlanta Thrashers,D,7.4,0,0,0,0.07,2,0,1,0,0,0,0,1.01,0.2,20092010,0.2918,0.2918,0.2918,0.2918,-0.2918,0.2918,0.7182,0.09179999999999999,0.135,0.15,0.5741999999999998,1.0094625,1.8686624999999997,1984-11-13,25.101369863013698,4,0.1124787716026512,0.24524930202291112,0.24524930202291112,0.2803530326391951,0.24518902142849408,0.2803637084960939,1,0.24518902142849408
4,2009-12-16,Ilkka Heikkinen,home,New York Rangers,New York Islanders,D,9.2666666666667,0,0,0,0.04,1,0,0,0,0,0,0,0.64,0.53,20092010,0.35153333333333436,0.35153333333333436,0.35153333333333436,0.35153333333333436,-0.35153333333333436,0.35153333333333436,0.28846666666666565,-0.17846666666666566,0.07,0.0,-0.07753333333333434,0.33632916666666823,0.3287958333333339,1984-11-13,25.106849315068494,5,0.24358803055585915,0.25119027638658076,0.25119027638658076,0.2836919665319884,0.2511776562929155,0.2836921384931703,1,0.2511776562929155
5,2009-12-17,Ilkka Heikkinen,away,New York Rangers,New York Islanders,D,12.583333333333,0,0,0,0.01,2,0,0,0,0,1,0,0.46,0.53,20092010,0.457666666666656,0.457666666666656,0.457666666666656,0.457666666666656,0.542333333333344,0.457666666666656,0.002333333333344012,-0.07233333333334402,0.10500000000000001,0.0,-0.071666666666656,0.488895833333318,0.522229166666662,1984-11-13,25.10958904109589,6,0.24952843192036755,0.2694235029035774,0.2694235029035774,0.3023152677083109,0.2694290283411684,0.3023352265357972,1,0.2694290283411684
6,2009-12-19,Ilkka Heikkinen,away,New York Rangers,Philadelphia Flyers,D,6.3,0,0,0,0.02,0,0,0,0,0,1,0,0.31,0.63,20092010,0.2566,0.2566,0.2566,0.2566,0.7434000000000001,0.2566,0.0534,-0.3734,0.01,0.0,-0.11060000000000003,-0.030137499999999928,-0.13073749999999995,1984-11-13,25.115068493150684,7,0.26733289122931775,0.24384500650172516,0.24384500650172516,0.2630587680477366,0.2436551126723645,0.26302061074972155,1,0.2436551126723645
